Camera_Review_Title,Camera_Review,Camera_Reviewer_Name,Camera_Reviewer_Location,Camera_Review_Date,Camera_review_Likes,Camera_Review_Dislikes,Camera__Review,Sentiment_Text,Sentiment,Sentiment_Score
best in the market,camera and photo quality is at par with any other high end smartphones,vishal kaushik,prayagraj,202312,8.0,0.0,camera and photo quality is at par with any other high end smartphones,best in the market. camera and photo quality is at par with any other high end smartphones,Positive,0.8668342232704163
perfect product,camera quality like dslr,hitendra shakya shakya,gwalior,202208,332.0,46.0,camera quality like dslr,perfect product. camera quality like dslr,Positive,0.8831420540809631
best in the market,good mobile battery back is good camera quality is good super mobile,hari vip r,chennai,202206,68.0,13.0,good mobile battery back is good camera quality is good super mobile,best in the market. good mobile battery back is good camera quality is good super mobile,Positive,0.7046499848365784
fair,phone is gud but camera quality is not upto standard mark,sujeet kumar,patna district,202403,0.0,0.0,phone is gud but camera quality is not upto standard mark,fair. phone is gud but camera quality is not upto standard mark,Neutral,0.5781176686286926
delightful,camera could be more optimised and better,lipika mondal,krishnanagar,202307,7.0,2.0,camera could be more optimised and better,delightful. camera could be more optimised and better,Positive,0.5039340853691101
fair,camera quality is just okayish,amit mehra,kolkata,202303,7.0,5.0,camera quality is just okayish,fair. camera quality is just okayish,Neutral,0.7005164623260498
wonderful,,ningappa anaveri,humnabad,202306,39.0,11.0,not good,wonderful. ,Positive,0.8042759895324707
second-rate,2 the camera quality is not satisfactory even though it is 64mp,baria rinal,valsad,202310,,,2 the camera quality is not satisfactory even though it is 64mp,second-rate. 2 the camera quality is not satisfactory even though it is 64mp,Negative,0.49110761284828186
not good,title impressed with my recent mobile purchase from flipkart rating 5 5 review i recently bought a this phone from flipkart and i must say i am thoroughly impressed with my purchase from the moment i received the package the entire experience has been nothing short of fantastic first and foremost the mobile phone itself has exceeded my expectations it boasts a sleek and modern design that feels great in my hand the build quality is top notch and i can tell that it read more,mr sameer,janakpur road,202306,,,title impressed with my recent mobile purchase from flipkart rating 5 5 review i recently bought a this phone from flipkart and i must say i am thoroughly impressed with my purchase from the moment i received the package the entire experience has been nothing short of fantastic first and foremost the mobile phone itself has exceeded my expectations it boasts a sleek and modern design that feels great in my hand the build quality is top notch and i can tell that it read more,not good. title impressed with my recent mobile purchase from flipkart rating 5 5 review i recently bought a this phone from flipkart and i must say i am thoroughly impressed with my purchase from the moment i received the package the entire experience has been nothing short of fantastic first and foremost the mobile phone itself has exceeded my expectations it boasts a sleek and modern design that feels great in my hand the build quality is top notch and i can tell that it read more,Negative,0.44694724678993225
hated it,back camera quality is very,deepak deepak,gurugram,202311,0.0,0.0,back camera quality is very,hated it. back camera quality is very,Negative,0.542601466178894
simply awesome,camera clierty is awesome,saroj patkar,guwahati,202208,4.0,0.0,camera clierty is awesome,simply awesome. camera clierty is awesome,Positive,0.8566767573356628
nice product,that s camera was crispy n good though it costs 30k nord ce lite 5g is good but camera not upto my expectations,joshua hungyo,new delhi,202401,0.0,0.0,that s camera was crispy n good though it costs 30k nord ce lite 5g is good but camera not upto my expectations,nice product. that s camera was crispy n good though it costs 30k nord ce lite 5g is good but camera not upto my expectations,Positive,0.5787527561187744
terrific purchase,the camera setup on the oneplus nord ce 2 lite is also quite impressive with a triple camera setup at the back that includes a 64mp primary sensor an 8mp ultra wide angle lens,jatin singh,kalamnuri,202305,79.0,32.0,the camera setup on the oneplus nord ce 2 lite is also quite impressive with a triple camera setup at the back that includes a 64mp primary sensor an 8mp ultra wide angle lens,terrific purchase. the camera setup on the oneplus nord ce 2 lite is also quite impressive with a triple camera setup at the back that includes a 64mp primary sensor an 8mp ultra wide angle lens,Positive,0.888830304145813
really nice,camera quality good,nitin,ballia district,202401,3.0,0.0,camera quality good,really nice. camera quality good,Positive,0.5485568046569824
best in the market,camera best phone,ritesh singh,bara banki district,202206,11188.0,3961.0,camera best phone,best in the market. camera best phone,Positive,0.8904246687889099
worth every penny,camera fabulous,raj kumar maurya,kopargaon,202311,2.0,0.0,camera fabulous,worth every penny. camera fabulous,Positive,0.9078774452209473
awesome,awesome camera quality,nikhil londhe,farrukhabad district,202311,1.0,0.0,awesome camera quality,awesome. awesome camera quality,Positive,0.8884028792381287
great product,the camera quality is average at best producing decent photos in good lighting but struggling in low light conditions,ritik kumar,muzaffarpur,202405,0.0,0.0,the camera quality is average at best producing decent photos in good lighting but struggling in low light conditions,great product. the camera quality is average at best producing decent photos in good lighting but struggling in low light conditions,Positive,0.6142104268074036
major letdown,it s camera quality are too good,mr rohit,,202401,,,it s camera quality are too good,major letdown. it s camera quality are too good,Negative,0.49805453419685364
value for money,amazing mobile with good camera quality,ravi m,kancheepuram district,202208,1.0,0.0,amazing mobile with good camera quality,value for money. amazing mobile with good camera quality,Positive,0.7847932577133179
pretty good,camera quality awesome,partha lohar,nagapattinam,202405,0.0,0.0,camera quality awesome,pretty good. camera quality awesome,Positive,0.5215326547622681
excellent,mobile is good and camera quality is very nice,kailash meena,kalamassery,202212,3.0,0.0,mobile is good and camera quality is very nice,excellent. mobile is good and camera quality is very nice,Positive,0.8649488091468811
decent product,camera quality 100 80,bishu gowala,mainpuri,202206,3544.0,558.0,camera quality 100 80,decent product. camera quality 100 80,Positive,0.5195399522781372
excellent,mobile phone is very good camera quality is very good,devraj singh,howrah,202206,4.0,0.0,mobile phone is very good camera quality is very good,excellent. mobile phone is very good camera quality is very good,Positive,0.8523691296577454
worth every penny,camera quality is superb,prithwish manna,guwahati,202401,0.0,0.0,camera quality is superb,worth every penny. camera quality is superb,Positive,0.8353219032287598
moderate,camera picture at 64 megapixel not that sharp compared to other 48 megapixel camera,kingshuk das,hamirpur,202310,5.0,0.0,camera picture at 64 megapixel not that sharp compared to other 48 megapixel camera,moderate. camera picture at 64 megapixel not that sharp compared to other 48 megapixel camera,Neutral,0.5945411920547485
very good,camera quality nice,flipkart customer,ranchi district,202312,0.0,0.0,camera quality nice,very good. camera quality nice,Positive,0.5247689485549927
fair,camera quality is awasome,awnish kumar,morigaon district,202307,0.0,0.0,camera quality is awasome,fair. camera quality is awasome,Neutral,0.5219565033912659
pathetic,but camera quality is not so good camera quality average,abu bakkar siddique,,202310,,,but camera quality is not so good camera quality average,pathetic. but camera quality is not so good camera quality average,Negative,0.47059366106987
wonderful,front camera is excellent back camera moderate night camera use with google camera,souvik chakraborty,panihati,202308,1.0,0.0,front camera is excellent back camera moderate night camera use with google camera,wonderful. front camera is excellent back camera moderate night camera use with google camera,Positive,0.7916327714920044
nice product,nice mobile camera quality is good,flipkart customer,paschim medinipur district,202304,2.0,0.0,nice mobile camera quality is good,nice product. nice mobile camera quality is good,Positive,0.5193997621536255
delightful,good camera clarity,kavi kck,veerakkalpudur,202211,1.0,0.0,good camera clarity,delightful. good camera clarity,Positive,0.5547685027122498
good,this brand is a good one but the specifications are not much optimized camera is poor and wide angle capture is also missing,sunil jaiswal,gurugram,202308,0.0,0.0,this brand is a good one but the specifications are not much optimized camera is poor and wide angle capture is also missing,good. this brand is a good one but the specifications are not much optimized camera is poor and wide angle capture is also missing,Neutral,0.5888338685035706
good quality product,camera quality not much,abhijeet jadhav,kalyan,202312,1.0,0.0,camera quality not much,good quality product. camera quality not much,Positive,0.5251020789146423
wonderful,nyc camera quality,bijay mahanta,noamundi,202306,3.0,0.0,nyc camera quality,wonderful. nyc camera quality,Positive,0.8331913352012634
good choice,really awesome camera quality is superb,ranjeet kumar singh,lucknow,202208,3.0,0.0,really awesome camera quality is superb,good choice. really awesome camera quality is superb,Positive,0.8449293971061707
very good,camera quality best,flipkart customer,anantapur district,202301,2.0,1.0,camera quality best,very good. camera quality best,Positive,0.6201221942901611
simply awesome,no camera clarity,flipkart customer,raichur,202401,34.0,7.0,no camera clarity,simply awesome. no camera clarity,Positive,0.8199490904808044
horrendous,rear camera is impressive front camera is not,bipllav ray,cuttack,202208,,,rear camera is impressive front camera is not,horrendous. rear camera is impressive front camera is not,Negative,0.5734022855758667
